date,open,high,low,close,price,volume
2023-10-06,173.8,177.99,173.18,177.49,177.03,57224100
2023-10-05,173.79,175.45,172.68,174.91,174.46,48527900
2023-10-04,171.09,174.21,170.97,173.66,173.21,53020300
2023-10-03,172.26,173.63,170.82,172.4,171.95,49594600
2023-10-02,171.22,174.3,170.93,173.75,173.3,52164500
2023-09-29,172.02,173.07,170.34,171.21,170.77,51814200
2023-09-28,169.34,172.03,167.62,170.69,170.25,56294400
2023-09-27,172.62,173.04,169.05,170.43,169.99,66921800
2023-09-26,174.82,175.2,171.66,171.96,171.51,64588900
2023-09-25,174.2,176.97,174.15,176.08,175.62,46172700
2023-09-22,174.67,177.08,174.05,174.79,174.34,56725400
2023-09-21,174.55,176.3,173.86,173.93,173.48,63047900
2023-09-20,179.26,179.7,175.4,175.49,175.04,58436200
2023-09-19,177.52,179.63,177.13,179.07,178.61,51826900
2023-09-18,176.48,179.38,176.17,177.97,177.51,67257600
2023-09-15,176.48,176.5,173.82,175.01,174.56,109205100
2023-09-14,174.0,176.1,173.58,175.74,175.29,60895800
2023-09-13,176.51,177.3,173.98,174.21,173.76,84267900
2023-09-12,179.49,180.13,174.82,176.3,175.84,90370200
2023-09-11,180.07,180.3,177.34,179.36,178.9,58953100
2023-09-08,178.35,180.24,177.79,178.18,177.72,65551300
2023-09-07,175.18,178.21,173.54,177.56,177.1,112488800
2023-09-06,188.4,188.85,181.47,182.91,182.44,81755800
2023-09-05,188.28,189.98,187.61,189.7,189.21,45280000
2023-09-01,189.49,189.92,188.28,189.46,188.97,45732600
2023-08-31,187.84,189.12,187.48,187.87,187.38,60794500
2023-08-30,184.94,187.85,184.74,187.65,187.16,60813900
2023-08-29,179.7,184.9,179.5,184.12,183.64,53003900
2023-08-28,180.09,180.59,178.55,180.19,179.72,43820700
2023-08-25,177.38,179.15,175.82,178.61,178.15,51449600
2023-08-24,180.67,181.1,176.01,176.38,175.92,54945800
2023-08-23,178.52,181.55,178.33,181.12,180.65,52722800
2023-08-22,177.06,177.68,176.25,177.23,176.77,42084200
2023-08-21,175.07,176.13,173.74,175.84,175.38,46311900
2023-08-18,172.3,175.1,171.96,174.49,174.04,61114200
2023-08-17,177.14,177.51,173.48,174.0,173.55,66062900
2023-08-16,177.13,178.54,176.5,176.57,176.11,46964900
2023-08-15,178.88,179.48,177.05,177.45,176.99,43622600
2023-08-14,177.97,179.69,177.31,179.46,179.0,43675600
2023-08-11,177.32,178.62,176.55,177.79,177.33,51988100
2023-08-10,179.48,180.75,177.6,177.97,177.27,54686900
2023-08-09,180.87,180.93,177.01,178.19,177.49,60378500
2023-08-08,179.69,180.27,177.58,179.8,179.09,67823000
2023-08-07,182.13,183.13,177.35,178.85,178.15,97576100
2023-08-04,185.52,187.38,181.92,181.99,181.27,115799700
2023-08-03,191.57,192.37,190.69,191.17,190.42,61235200
2023-08-02,195.04,195.18,191.85,192.58,191.82,50389300
2023-08-01,196.24,196.73,195.28,195.61,194.84,35175100
2023-07-31,196.06,196.49,195.26,196.45,195.68,38824100
2023-07-28,194.67,196.63,194.14,195.83,195.06,48291400
2023-07-27,196.02,197.2,192.55,193.22,192.46,47460200
2023-07-26,193.67,195.64,193.32,194.5,193.73,47471900
2023-07-25,193.33,194.44,192.92,193.62,192.86,37283200
2023-07-24,193.41,194.91,192.25,192.75,191.99,45377800
2023-07-21,194.1,194.97,191.23,191.94,191.18,71917800
2023-07-20,195.09,196.47,192.5,193.13,192.37,59581200
2023-07-19,193.1,198.23,192.65,195.1,194.33,80507300
2023-07-18,193.35,194.33,192.42,193.73,192.97,48353800
2023-07-17,191.9,194.32,191.81,193.99,193.23,50520200
2023-07-14,190.23,191.18,189.63,190.69,189.94,41573900
2023-07-13,190.5,191.19,189.78,190.54,189.79,41342300
2023-07-12,189.68,191.7,188.47,189.77,189.02,60750200
2023-07-11,189.16,189.3,186.6,188.08,187.34,46638100
2023-07-10,189.26,189.99,187.04,188.61,187.87,59922200
2023-07-07,191.41,192.67,190.24,190.68,189.93,46778000
2023-07-06,189.84,192.02,189.2,191.81,191.06,45094300
2023-07-05,191.57,192.98,190.62,191.33,190.58,46920300
2023-07-03,193.78,193.88,191.76,192.46,191.7,31458200
2023-06-30,191.63,194.48,191.26,193.97,193.21,85069600
2023-06-29,189.08,190.07,188.94,189.59,188.84,46347300
2023-06-28,187.93,189.9,187.6,189.25,188.51,51216800
2023-06-27,185.89,188.39,185.67,188.06,187.32,50730800
2023-06-26,186.83,188.05,185.23,185.27,184.54,48088700
2023-06-23,185.55,187.56,185.01,186.68,185.95,53079300
2023-06-22,183.74,187.05,183.67,187.0,186.26,51245300
2023-06-21,184.9,185.41,182.59,183.96,183.24,49515700
2023-06-20,184.41,186.1,184.41,185.01,184.28,49799100
2023-06-16,186.73,186.99,184.27,184.92,184.19,101235600
2023-06-15,183.96,186.52,183.78,186.01,185.28,65433200
2023-06-14,183.37,184.39,182.02,183.95,183.23,57462900
2023-06-13,182.8,184.15,182.44,183.31,182.59,54929100
2023-06-12,181.27,183.89,180.97,183.79,183.07,54274900
2023-06-09,181.5,182.23,180.63,180.96,180.25,48870700
2023-06-08,177.9,180.84,177.46,180.57,179.86,50214900
2023-06-07,178.44,181.21,177.32,177.82,177.12,61944600
2023-06-06,179.97,180.12,177.43,179.21,178.51,64848400
2023-06-05,182.63,184.95,178.04,179.58,178.87,121946500
2023-06-02,181.03,181.78,179.26,180.95,180.24,61945900
2023-06-01,177.7,180.12,176.93,180.09,179.38,68901800
2023-05-31,177.33,179.35,176.76,177.25,176.55,99625300
2023-05-30,176.96,178.99,176.57,177.3,176.6,55964400
2023-05-26,173.32,175.77,173.11,175.43,174.74,54835000
2023-05-25,172.41,173.9,171.69,172.99,172.31,56058300
2023-05-24,171.09,172.42,170.52,171.84,171.16,45143500
2023-05-23,173.13,173.38,171.28,171.56,170.89,50747300
2023-05-22,173.98,174.71,173.45,174.2,173.51,43570900
2023-05-19,176.39,176.39,174.94,175.16,174.47,55772400
2023-05-18,173.0,175.24,172.58,175.05,174.36,65496700
2023-05-17,171.71,172.93,170.42,172.69,172.01,57951600
2023-05-16,171.99,173.14,171.8,172.07,171.39,42110300
2023-05-15,173.16,173.21,171.47,172.07,171.39,37266700
2023-05-12,173.62,174.06,171.0,172.57,171.89,45497800
2023-05-11,173.85,174.59,172.17,173.75,172.83,49514700
2023-05-10,173.02,174.03,171.9,173.56,172.64,53724500
2023-05-09,173.05,173.54,171.6,171.77,170.86,45326900
2023-05-08,172.48,173.85,172.11,173.5,172.58,55962800
2023-05-05,170.98,174.3,170.76,173.57,172.65,113316400
2023-05-04,164.89,167.04,164.31,165.79,164.91,81235400
2023-05-03,169.5,170.92,167.16,167.45,166.56,65136000
2023-05-02,170.09,170.35,167.54,168.54,167.65,48425700
2023-05-01,169.28,170.45,168.64,169.59,168.69,52472900
2023-04-28,168.49,169.85,167.88,169.68,168.78,55209200
2023-04-27,165.19,168.56,165.19,168.41,167.52,64902300
2023-04-26,163.06,165.28,162.8,163.76,162.89,45498800
2023-04-25,165.19,166.31,163.73,163.77,162.9,48714100
2023-04-24,165.0,165.6,163.89,165.33,164.45,41949600
2023-04-21,165.05,166.45,164.49,165.02,164.14,58337300
2023-04-20,166.09,167.87,165.56,166.65,165.77,52456400
2023-04-19,165.8,168.16,165.54,167.63,166.74,47720200
2023-04-18,166.1,167.41,165.65,166.47,165.59,49923000
2023-04-17,165.09,165.39,164.03,165.23,164.35,41516200
2023-04-14,164.59,166.32,163.82,165.21,164.33,49386500
2023-04-13,161.63,165.8,161.42,165.56,164.68,68445600
2023-04-12,161.22,162.06,159.78,160.1,159.25,50133100
2023-04-11,162.35,162.36,160.51,160.8,159.95,47644200
2023-04-10,161.42,162.03,160.08,162.03,161.17,47716900
2023-04-06,162.43,164.96,162.0,164.66,163.79,45390100
